token		token_type

begin	:	KEYWORD
x	:	IDENTIFIER
=	:	OPERATOR
7	:	NUMBER
+	:	OPERATOR
4	:	NUMBER
*	:	OPERATOR
3	:	NUMBER
y	:	IDENTIFIER
=	:	OPERATOR
10	:	NUMBER
-	:	OPERATOR
6	:	NUMBER
/	:	OPERATOR
3	:	NUMBER
begin	:	KEYWORD
if	:	KEYWORD
x	:	IDENTIFIER
y	:	IDENTIFIER
then	:	KEYWORD
z	:	IDENTIFIER
=	:	OPERATOR
x	:	IDENTIFIER
+	:	OPERATOR
y	:	IDENTIFIER
elif	:	KEYWORD
x	:	IDENTIFIER
=	:	OPERATOR
=	:	OPERATOR
y	:	IDENTIFIER
then	:	KEYWORD
z	:	IDENTIFIER
=	:	OPERATOR
x	:	IDENTIFIER
*	:	OPERATOR
y	:	IDENTIFIER
else	:	KEYWORD
z	:	IDENTIFIER
=	:	OPERATOR
x	:	IDENTIFIER
-	:	OPERATOR
y	:	IDENTIFIER
end	:	KEYWORD
end	:	KEYWORD
begin	:	KEYWORD
for	:	KEYWORD
i	:	IDENTIFIER
in	:	KEYWORD
range	:	KEYWORD
(	:	DELIMITER
1	:	NUMBER
,	:	DELIMITER
10	:	NUMBER
)	:	DELIMITER
do	:	KEYWORD
x	:	IDENTIFIER
=	:	OPERATOR
x	:	IDENTIFIER
+	:	OPERATOR
i	:	IDENTIFIER
begin	:	KEYWORD
for	:	KEYWORD
j	:	IDENTIFIER
in	:	KEYWORD
range	:	KEYWORD
(	:	DELIMITER
1	:	NUMBER
,	:	DELIMITER
10	:	NUMBER
)	:	DELIMITER
do	:	KEYWORD
y	:	IDENTIFIER
=	:	OPERATOR
y	:	IDENTIFIER
*	:	OPERATOR
j	:	IDENTIFIER
end	:	KEYWORD
end	:	KEYWORD
end	:	KEYWORD
end	:	KEYWORD
